run_id,samples,n_episodes,Neg Q,probtest Q
0,2995,15000,0.005,0.0
0,2995,20000,0.007,0.0
0,2995,25000,0.0107,0.0
1,2995,15000,0.0073,0.0
1,2995,20000,0.0083,0.0
1,2995,25000,0.0073,0.0
2,2995,15000,0.0053,0.0
2,2995,20000,0.009,0.0
2,2995,25000,0.005,0.0
3,2995,15000,0.002,0.0
3,2995,20000,0.0063,0.0
3,2995,25000,0.0053,0.0
4,2995,15000,0.006,0.0
4,2995,20000,0.0067,0.0
4,2995,25000,0.0093,0.0
5,2995,15000,0.011,0.0
5,2995,20000,0.0063,0.0
5,2995,25000,0.0043,0.0
6,2995,15000,0.009,0.0
6,2995,20000,0.008,0.0
6,2995,25000,0.0053,0.0
7,2995,15000,0.0047,0.0
7,2995,20000,0.004,0.0
7,2995,25000,0.0063,0.0
8,2995,15000,0.007,0.0
8,2995,20000,0.0077,0.0
8,2995,25000,0.008,0.0
9,2995,15000,0.007,0.0
9,2995,20000,0.0053,0.0
9,2995,25000,0.004,0.0
10,2995,15000,0.009,0.0
10,2995,20000,0.0077,0.0
10,2995,25000,0.0087,0.0
11,2995,15000,0.0083,0.0
11,2995,20000,0.0037,0.0
11,2995,25000,0.008,0.0
12,2995,15000,0.0063,0.0
12,2995,20000,0.0037,0.0
12,2995,25000,0.008,0.0
13,2995,15000,0.0033,0.0
13,2995,20000,0.0083,0.0
13,2995,25000,0.008,0.0
14,2995,15000,0.0037,0.0
14,2995,20000,0.0083,0.0
14,2995,25000,0.0077,0.0
15,2995,15000,0.007,0.0
15,2995,20000,0.0043,0.0
15,2995,25000,0.0104,0.0
16,2995,15000,0.0083,0.0
16,2995,20000,0.0063,0.0
16,2995,25000,0.008,0.0
17,2995,15000,0.0087,0.0
17,2995,20000,0.0077,0.0
17,2995,25000,0.0043,0.0
18,2995,15000,0.0083,0.0
18,2995,20000,0.009,0.0
18,2995,25000,0.0087,0.0
19,2995,15000,0.008,0.0
19,2995,20000,0.0114,0.0
19,2995,25000,0.01,0.0
20,2995,15000,0.0093,0.0
20,2995,20000,0.01,0.0
20,2995,25000,0.0047,0.0
21,2995,15000,0.0067,0.0
21,2995,20000,0.0067,0.0
21,2995,25000,0.0063,0.0
22,2995,15000,0.0047,0.0
22,2995,20000,0.0033,0.0
22,2995,25000,0.006,0.0
23,2995,15000,0.0097,0.0
23,2995,20000,0.0093,0.0
23,2995,25000,0.0053,0.0
24,2995,15000,0.0043,0.0
24,2995,20000,0.005,0.0
24,2995,25000,0.005,0.0
25,2995,15000,0.0057,0.0
25,2995,20000,0.0077,0.0
25,2995,25000,0.0067,0.0
26,2995,15000,0.002,0.0
26,2995,20000,0.0073,0.0
26,2995,25000,0.0053,0.0
27,2995,15000,0.009,0.0
27,2995,20000,0.0073,0.0
27,2995,25000,0.0077,0.0
28,2995,15000,0.006,0.0
28,2995,20000,0.0093,0.0
28,2995,25000,0.0017,0.0
29,2995,15000,0.0077,0.0
29,2995,20000,0.009,0.0
29,2995,25000,0.006,0.0
30,2995,15000,0.009,0.0
30,2995,20000,0.006,0.0
30,2995,25000,0.0067,0.0
31,2995,15000,0.006,0.0
31,2995,20000,0.0067,0.0
31,2995,25000,0.0104,0.0
32,2995,15000,0.0043,0.0
32,2995,20000,0.0073,0.0
32,2995,25000,0.0117,0.0
33,2995,15000,0.0073,0.0
33,2995,20000,0.004,0.0
33,2995,25000,0.0073,0.0
34,2995,15000,0.006,0.0
34,2995,20000,0.0043,0.0
34,2995,25000,0.0037,0.0
35,2995,15000,0.0047,0.0
35,2995,20000,0.005,0.0
35,2995,25000,0.0087,0.0
36,2995,15000,0.0087,0.0
36,2995,20000,0.0067,0.0
36,2995,25000,0.0104,0.0
37,2995,15000,0.0097,0.0
37,2995,20000,0.0073,0.0
37,2995,25000,0.0053,0.0
38,2995,15000,0.0047,0.0
38,2995,20000,0.008,0.0
38,2995,25000,0.005,0.0
39,2995,15000,0.008,0.0
39,2995,20000,0.0067,0.0
39,2995,25000,0.0107,0.0
40,2995,15000,0.007,0.0
40,2995,20000,0.0107,0.0
40,2995,25000,0.0077,0.0
41,2995,15000,0.0063,0.0
41,2995,20000,0.0073,0.0
41,2995,25000,0.0053,0.0
42,2995,15000,0.0114,0.0
42,2995,20000,0.0067,0.0
42,2995,25000,0.007,0.0
43,2995,15000,0.007,0.0
43,2995,20000,0.004,0.0
43,2995,25000,0.004,0.0
44,2995,15000,0.0063,0.0
44,2995,20000,0.011,0.0
44,2995,25000,0.0063,0.0
45,2995,15000,0.0083,0.0
45,2995,20000,0.0057,0.0
45,2995,25000,0.0093,0.0
46,2995,15000,0.005,0.0
46,2995,20000,0.0083,0.0
46,2995,25000,0.004,0.0
47,2995,15000,0.0047,0.0
47,2995,20000,0.0047,0.0
47,2995,25000,0.0107,0.0
48,2995,15000,0.01,0.0
48,2995,20000,0.01,0.0
48,2995,25000,0.0053,0.0
49,2995,15000,0.0043,0.0
49,2995,20000,0.007,0.0
49,2995,25000,0.0073,0.0
50,2995,15000,0.0053,0.0
50,2995,20000,0.011,0.0
50,2995,25000,0.0083,0.0
51,2995,15000,0.005,0.0
51,2995,20000,0.0073,0.0
51,2995,25000,0.01,0.0
52,2995,15000,0.0104,0.0
52,2995,20000,0.005,0.0
52,2995,25000,0.0047,0.0
53,2995,15000,0.008,0.0
53,2995,20000,0.01,0.0
53,2995,25000,0.0047,0.0
54,2995,15000,0.0073,0.0
54,2995,20000,0.0077,0.0
54,2995,25000,0.0104,0.0
55,2995,15000,0.0087,0.0
55,2995,20000,0.008,0.0
55,2995,25000,0.0104,0.0
56,2995,15000,0.0057,0.0
56,2995,20000,0.009,0.0
56,2995,25000,0.0057,0.0
57,2995,15000,0.0037,0.0
57,2995,20000,0.0053,0.0
57,2995,25000,0.0027,0.0
58,2995,15000,0.006,0.0
58,2995,20000,0.0073,0.0
58,2995,25000,0.0067,0.0
59,2995,15000,0.0067,0.0
59,2995,20000,0.006,0.0
59,2995,25000,0.005,0.0
60,2995,15000,0.006,0.0
60,2995,20000,0.0043,0.0
60,2995,25000,0.007,0.0
61,2995,15000,0.0093,0.0
61,2995,20000,0.0057,0.0
61,2995,25000,0.0093,0.0
62,2995,15000,0.007,0.0
62,2995,20000,0.007,0.0
62,2995,25000,0.0083,0.0
63,2995,15000,0.0073,0.0
63,2995,20000,0.0117,0.0
63,2995,25000,0.007,0.0
64,2995,15000,0.006,0.0
64,2995,20000,0.0053,0.0
64,2995,25000,0.008,0.0
65,2995,15000,0.003,0.0
65,2995,20000,0.007,0.0
65,2995,25000,0.0104,0.0
66,2995,15000,0.0083,0.0
66,2995,20000,0.0107,0.0
66,2995,25000,0.0124,0.0
67,2995,15000,0.002,0.0
67,2995,20000,0.01,0.0
67,2995,25000,0.0083,0.0
68,2995,15000,0.0073,0.0
68,2995,20000,0.007,0.0
68,2995,25000,0.006,0.0
69,2995,15000,0.01,0.0
69,2995,20000,0.0043,0.0
69,2995,25000,0.0053,0.0
70,2995,15000,0.0043,0.0
70,2995,20000,0.0093,0.0
70,2995,25000,0.007,0.0
71,2995,15000,0.0057,0.0
71,2995,20000,0.0077,0.0
71,2995,25000,0.0043,0.0
72,2995,15000,0.0104,0.0
72,2995,20000,0.0067,0.0
72,2995,25000,0.0057,0.0
73,2995,15000,0.0063,0.0
73,2995,20000,0.0093,0.0
73,2995,25000,0.0083,0.0
74,2995,15000,0.0067,0.0
74,2995,20000,0.004,0.0
74,2995,25000,0.008,0.0
75,2995,15000,0.009,0.0
75,2995,20000,0.0053,0.0
75,2995,25000,0.01,0.0
76,2995,15000,0.0063,0.0
76,2995,20000,0.0067,0.0
76,2995,25000,0.008,0.0
77,2995,15000,0.0087,0.0
77,2995,20000,0.0114,0.0
77,2995,25000,0.0067,0.0
78,2995,15000,0.0057,0.0
78,2995,20000,0.0067,0.0
78,2995,25000,0.0067,0.0
79,2995,15000,0.006,0.0
79,2995,20000,0.009,0.0
79,2995,25000,0.0077,0.0
80,2995,15000,0.006,0.0
80,2995,20000,0.011,0.0
80,2995,25000,0.0067,0.0
81,2995,15000,0.006,0.0
81,2995,20000,0.01,0.0
81,2995,25000,0.007,0.0
82,2995,15000,0.0077,0.0
82,2995,20000,0.006,0.0
82,2995,25000,0.0083,0.0
83,2995,15000,0.008,0.0
83,2995,20000,0.0067,0.0
83,2995,25000,0.0067,0.0
84,2995,15000,0.0027,0.0
84,2995,20000,0.0077,0.0
84,2995,25000,0.0057,0.0
85,2995,15000,0.004,0.0
85,2995,20000,0.0063,0.0
85,2995,25000,0.0083,0.0
86,2995,15000,0.0057,0.0
86,2995,20000,0.0063,0.0
86,2995,25000,0.005,0.0
87,2995,15000,0.01,0.0
87,2995,20000,0.009,0.0
87,2995,25000,0.0107,0.0
88,2995,15000,0.0093,0.0
88,2995,20000,0.0077,0.0
88,2995,25000,0.008,0.0
89,2995,15000,0.0073,0.0
89,2995,20000,0.0083,0.0
89,2995,25000,0.0033,0.0
90,2995,15000,0.0063,0.0
90,2995,20000,0.011,0.0
90,2995,25000,0.0087,0.0
91,2995,15000,0.0114,0.0
91,2995,20000,0.014,0.0
91,2995,25000,0.0043,0.0
92,2995,15000,0.0083,0.0
92,2995,20000,0.0097,0.0
92,2995,25000,0.005,0.0
93,2995,15000,0.006,0.0
93,2995,20000,0.006,0.0
93,2995,25000,0.0073,0.0
94,2995,15000,0.007,0.0
94,2995,20000,0.0047,0.0
94,2995,25000,0.0083,0.0
95,2995,15000,0.0077,0.0
95,2995,20000,0.0114,0.0
95,2995,25000,0.007,0.0
96,2995,15000,0.0063,0.0
96,2995,20000,0.0083,0.0
96,2995,25000,0.0037,0.0
97,2995,15000,0.007,0.0
97,2995,20000,0.0093,0.0
97,2995,25000,0.005,0.0
98,2995,15000,0.0053,0.0
98,2995,20000,0.007,0.0
98,2995,25000,0.005,0.0
99,2995,15000,0.0047,0.0
99,2995,20000,0.0077,0.0
99,2995,25000,0.011,0.0
