run_id,samples,n_episodes,Neg Q1,Neg Q2
0,1000,10000,0.059,0.089
0,1000,15000,0.011,0.047
0,1000,20000,0.0,0.087
0,1000,25000,0.0,0.052
1,1000,10000,0.051,0.097
1,1000,15000,0.008,0.036
1,1000,20000,0.0,0.092
1,1000,25000,0.0,0.051
2,1000,10000,0.052,0.079
2,1000,15000,0.009,0.043
2,1000,20000,0.0,0.088
2,1000,25000,0.0,0.059
3,1000,10000,0.062,0.081
3,1000,15000,0.012,0.067
3,1000,20000,0.0,0.077
3,1000,25000,0.0,0.058
4,1000,10000,0.042,0.077
4,1000,15000,0.012,0.045
4,1000,20000,0.0,0.094
4,1000,25000,0.0,0.069
5,1000,10000,0.062,0.079
5,1000,15000,0.011,0.059
5,1000,20000,0.0,0.059
5,1000,25000,0.0,0.05
6,1000,10000,0.063,0.077
6,1000,15000,0.014,0.055
6,1000,20000,0.0,0.065
6,1000,25000,0.0,0.053
7,1000,10000,0.049,0.097
7,1000,15000,0.011,0.052
7,1000,20000,0.0,0.092
7,1000,25000,0.0,0.052
8,1000,10000,0.059,0.07
8,1000,15000,0.008,0.056
8,1000,20000,0.0,0.073
8,1000,25000,0.0,0.066
9,1000,10000,0.056,0.096
9,1000,15000,0.012,0.052
9,1000,20000,0.0,0.093
9,1000,25000,0.0,0.067
10,1000,10000,0.051,0.095
10,1000,15000,0.013,0.046
10,1000,20000,0.0,0.075
10,1000,25000,0.0,0.068
11,1000,10000,0.053,0.087
11,1000,15000,0.008,0.048
11,1000,20000,0.0,0.076
11,1000,25000,0.0,0.06
12,1000,10000,0.061,0.086
12,1000,15000,0.011,0.04
12,1000,20000,0.0,0.074
12,1000,25000,0.0,0.059
13,1000,10000,0.074,0.079
13,1000,15000,0.019,0.039
13,1000,20000,0.0,0.081
13,1000,25000,0.0,0.064
14,1000,10000,0.075,0.085
14,1000,15000,0.008,0.055
14,1000,20000,0.0,0.082
14,1000,25000,0.0,0.053
15,1000,10000,0.054,0.065
15,1000,15000,0.014,0.056
15,1000,20000,0.0,0.094
15,1000,25000,0.0,0.06
16,1000,10000,0.065,0.1
16,1000,15000,0.015,0.048
16,1000,20000,0.0,0.081
16,1000,25000,0.0,0.062
17,1000,10000,0.066,0.07
17,1000,15000,0.016,0.043
17,1000,20000,0.0,0.068
17,1000,25000,0.0,0.064
18,1000,10000,0.053,0.071
18,1000,15000,0.007,0.061
18,1000,20000,0.0,0.072
18,1000,25000,0.0,0.054
19,1000,10000,0.053,0.075
19,1000,15000,0.01,0.05
19,1000,20000,0.0,0.097
19,1000,25000,0.0,0.06
20,1000,10000,0.055,0.086
20,1000,15000,0.016,0.061
20,1000,20000,0.0,0.077
20,1000,25000,0.0,0.055
21,1000,10000,0.057,0.075
21,1000,15000,0.01,0.055
21,1000,20000,0.0,0.097
21,1000,25000,0.0,0.056
22,1000,10000,0.059,0.074
22,1000,15000,0.013,0.063
22,1000,20000,0.0,0.083
22,1000,25000,0.0,0.072
23,1000,10000,0.051,0.084
23,1000,15000,0.012,0.053
23,1000,20000,0.0,0.079
23,1000,25000,0.0,0.064
24,1000,10000,0.063,0.075
24,1000,15000,0.011,0.051
24,1000,20000,0.0,0.083
24,1000,25000,0.0,0.055
25,1000,10000,0.044,0.072
25,1000,15000,0.012,0.058
25,1000,20000,0.0,0.079
25,1000,25000,0.0,0.053
26,1000,10000,0.052,0.085
26,1000,15000,0.014,0.044
26,1000,20000,0.0,0.076
26,1000,25000,0.0,0.06
27,1000,10000,0.042,0.089
27,1000,15000,0.013,0.053
27,1000,20000,0.0,0.08
27,1000,25000,0.0,0.076
28,1000,10000,0.045,0.079
28,1000,15000,0.011,0.051
28,1000,20000,0.0,0.097
28,1000,25000,0.0,0.064
29,1000,10000,0.06,0.075
29,1000,15000,0.009,0.043
29,1000,20000,0.0,0.093
29,1000,25000,0.0,0.072
30,1000,10000,0.045,0.09
30,1000,15000,0.015,0.042
30,1000,20000,0.0,0.083
30,1000,25000,0.0,0.067
31,1000,10000,0.058,0.081
31,1000,15000,0.011,0.042
31,1000,20000,0.0,0.094
31,1000,25000,0.0,0.061
32,1000,10000,0.056,0.065
32,1000,15000,0.016,0.049
32,1000,20000,0.0,0.063
32,1000,25000,0.0,0.061
33,1000,10000,0.056,0.073
33,1000,15000,0.012,0.048
33,1000,20000,0.0,0.088
33,1000,25000,0.0,0.056
34,1000,10000,0.045,0.077
34,1000,15000,0.015,0.047
34,1000,20000,0.0,0.076
34,1000,25000,0.0,0.067
35,1000,10000,0.055,0.086
35,1000,15000,0.014,0.058
35,1000,20000,0.0,0.088
35,1000,25000,0.0,0.064
36,1000,10000,0.055,0.082
36,1000,15000,0.009,0.054
36,1000,20000,0.0,0.089
36,1000,25000,0.0,0.048
37,1000,10000,0.054,0.069
37,1000,15000,0.016,0.046
37,1000,20000,0.0,0.082
37,1000,25000,0.0,0.066
38,1000,10000,0.063,0.084
38,1000,15000,0.008,0.051
38,1000,20000,0.0,0.085
38,1000,25000,0.0,0.051
39,1000,10000,0.053,0.08
39,1000,15000,0.008,0.048
39,1000,20000,0.0,0.08
39,1000,25000,0.0,0.059
40,1000,10000,0.066,0.079
40,1000,15000,0.01,0.061
40,1000,20000,0.0,0.092
40,1000,25000,0.0,0.065
41,1000,10000,0.049,0.078
41,1000,15000,0.009,0.047
41,1000,20000,0.0,0.091
41,1000,25000,0.0,0.053
42,1000,10000,0.071,0.085
42,1000,15000,0.009,0.066
42,1000,20000,0.0,0.109
42,1000,25000,0.0,0.063
43,1000,10000,0.042,0.091
43,1000,15000,0.007,0.054
43,1000,20000,0.0,0.073
43,1000,25000,0.0,0.066
44,1000,10000,0.049,0.087
44,1000,15000,0.01,0.048
44,1000,20000,0.0,0.09
44,1000,25000,0.0,0.061
45,1000,10000,0.049,0.079
45,1000,15000,0.015,0.052
45,1000,20000,0.0,0.092
45,1000,25000,0.0,0.063
46,1000,10000,0.058,0.081
46,1000,15000,0.016,0.049
46,1000,20000,0.0,0.085
46,1000,25000,0.0,0.053
47,1000,10000,0.058,0.069
47,1000,15000,0.011,0.051
47,1000,20000,0.0,0.086
47,1000,25000,0.0,0.054
48,1000,10000,0.063,0.076
48,1000,15000,0.011,0.048
48,1000,20000,0.0,0.076
48,1000,25000,0.0,0.061
49,1000,10000,0.067,0.091
49,1000,15000,0.007,0.06
49,1000,20000,0.0,0.067
49,1000,25000,0.0,0.056
50,1000,10000,0.05,0.08
50,1000,15000,0.011,0.051
50,1000,20000,0.0,0.058
50,1000,25000,0.0,0.06
51,1000,10000,0.048,0.08
51,1000,15000,0.014,0.047
51,1000,20000,0.0,0.105
51,1000,25000,0.0,0.066
52,1000,10000,0.045,0.073
52,1000,15000,0.01,0.059
52,1000,20000,0.0,0.077
52,1000,25000,0.0,0.072
53,1000,10000,0.049,0.093
53,1000,15000,0.017,0.058
53,1000,20000,0.0,0.075
53,1000,25000,0.0,0.059
54,1000,10000,0.055,0.071
54,1000,15000,0.014,0.055
54,1000,20000,0.0,0.073
54,1000,25000,0.0,0.045
55,1000,10000,0.045,0.099
55,1000,15000,0.014,0.053
55,1000,20000,0.0,0.072
55,1000,25000,0.0,0.06
56,1000,10000,0.05,0.081
56,1000,15000,0.012,0.042
56,1000,20000,0.0,0.085
56,1000,25000,0.0,0.064
57,1000,10000,0.048,0.08
57,1000,15000,0.012,0.055
57,1000,20000,0.0,0.079
57,1000,25000,0.0,0.062
58,1000,10000,0.065,0.08
58,1000,15000,0.01,0.041
58,1000,20000,0.0,0.076
58,1000,25000,0.0,0.052
59,1000,10000,0.053,0.078
59,1000,15000,0.01,0.044
59,1000,20000,0.0,0.096
59,1000,25000,0.0,0.061
60,1000,10000,0.057,0.074
60,1000,15000,0.014,0.053
60,1000,20000,0.0,0.075
60,1000,25000,0.0,0.069
61,1000,10000,0.051,0.074
61,1000,15000,0.008,0.06
61,1000,20000,0.0,0.09
61,1000,25000,0.0,0.068
62,1000,10000,0.053,0.08
62,1000,15000,0.012,0.048
62,1000,20000,0.0,0.093
62,1000,25000,0.0,0.062
63,1000,10000,0.058,0.091
63,1000,15000,0.011,0.042
63,1000,20000,0.0,0.07
63,1000,25000,0.0,0.067
64,1000,10000,0.053,0.09
64,1000,15000,0.013,0.045
64,1000,20000,0.0,0.064
64,1000,25000,0.0,0.053
65,1000,10000,0.048,0.09
65,1000,15000,0.013,0.055
65,1000,20000,0.0,0.082
65,1000,25000,0.0,0.057
66,1000,10000,0.051,0.083
66,1000,15000,0.013,0.051
66,1000,20000,0.0,0.082
66,1000,25000,0.0,0.061
67,1000,10000,0.048,0.07
67,1000,15000,0.012,0.054
67,1000,20000,0.0,0.077
67,1000,25000,0.0,0.057
68,1000,10000,0.056,0.074
68,1000,15000,0.015,0.044
68,1000,20000,0.0,0.073
68,1000,25000,0.0,0.054
69,1000,10000,0.053,0.083
69,1000,15000,0.005,0.048
69,1000,20000,0.0,0.071
69,1000,25000,0.0,0.062
70,1000,10000,0.067,0.072
70,1000,15000,0.009,0.058
70,1000,20000,0.0,0.093
70,1000,25000,0.0,0.077
71,1000,10000,0.054,0.098
71,1000,15000,0.011,0.048
71,1000,20000,0.0,0.094
71,1000,25000,0.0,0.07
72,1000,10000,0.054,0.077
72,1000,15000,0.011,0.052
72,1000,20000,0.0,0.082
72,1000,25000,0.0,0.064
73,1000,10000,0.044,0.089
73,1000,15000,0.013,0.056
73,1000,20000,0.0,0.066
73,1000,25000,0.0,0.054
74,1000,10000,0.054,0.084
74,1000,15000,0.016,0.036
74,1000,20000,0.0,0.097
74,1000,25000,0.0,0.048
75,1000,10000,0.04,0.076
75,1000,15000,0.012,0.047
75,1000,20000,0.0,0.094
75,1000,25000,0.0,0.066
76,1000,10000,0.059,0.083
76,1000,15000,0.018,0.046
76,1000,20000,0.0,0.076
76,1000,25000,0.0,0.079
77,1000,10000,0.061,0.099
77,1000,15000,0.009,0.054
77,1000,20000,0.0,0.085
77,1000,25000,0.0,0.067
78,1000,10000,0.05,0.083
78,1000,15000,0.011,0.064
78,1000,20000,0.0,0.078
78,1000,25000,0.0,0.077
79,1000,10000,0.057,0.095
79,1000,15000,0.014,0.048
79,1000,20000,0.0,0.09
79,1000,25000,0.0,0.049
80,1000,10000,0.068,0.076
80,1000,15000,0.012,0.037
80,1000,20000,0.0,0.072
80,1000,25000,0.0,0.062
81,1000,10000,0.037,0.083
81,1000,15000,0.009,0.067
81,1000,20000,0.0,0.074
81,1000,25000,0.0,0.066
82,1000,10000,0.057,0.101
82,1000,15000,0.011,0.053
82,1000,20000,0.0,0.074
82,1000,25000,0.0,0.056
83,1000,10000,0.056,0.084
83,1000,15000,0.013,0.04
83,1000,20000,0.0,0.08
83,1000,25000,0.0,0.062
84,1000,10000,0.058,0.08
84,1000,15000,0.016,0.056
84,1000,20000,0.0,0.086
84,1000,25000,0.0,0.053
85,1000,10000,0.057,0.083
85,1000,15000,0.013,0.059
85,1000,20000,0.0,0.08
85,1000,25000,0.0,0.054
86,1000,10000,0.054,0.092
86,1000,15000,0.008,0.059
86,1000,20000,0.0,0.079
86,1000,25000,0.0,0.062
87,1000,10000,0.057,0.097
87,1000,15000,0.008,0.041
87,1000,20000,0.0,0.078
87,1000,25000,0.0,0.044
88,1000,10000,0.054,0.082
88,1000,15000,0.011,0.045
88,1000,20000,0.0,0.065
88,1000,25000,0.0,0.059
89,1000,10000,0.061,0.078
89,1000,15000,0.012,0.05
89,1000,20000,0.0,0.098
89,1000,25000,0.0,0.047
90,1000,10000,0.042,0.086
90,1000,15000,0.015,0.054
90,1000,20000,0.0,0.085
90,1000,25000,0.0,0.061
91,1000,10000,0.061,0.081
91,1000,15000,0.015,0.047
91,1000,20000,0.0,0.085
91,1000,25000,0.0,0.069
92,1000,10000,0.054,0.08
92,1000,15000,0.007,0.056
92,1000,20000,0.0,0.081
92,1000,25000,0.0,0.06
93,1000,10000,0.06,0.082
93,1000,15000,0.011,0.045
93,1000,20000,0.0,0.07
93,1000,25000,0.0,0.062
94,1000,10000,0.063,0.083
94,1000,15000,0.008,0.05
94,1000,20000,0.0,0.09
94,1000,25000,0.0,0.057
95,1000,10000,0.051,0.085
95,1000,15000,0.015,0.053
95,1000,20000,0.0,0.081
95,1000,25000,0.0,0.054
96,1000,10000,0.059,0.075
96,1000,15000,0.015,0.057
96,1000,20000,0.0,0.081
96,1000,25000,0.0,0.068
97,1000,10000,0.041,0.089
97,1000,15000,0.009,0.045
97,1000,20000,0.0,0.082
97,1000,25000,0.0,0.054
98,1000,10000,0.054,0.083
98,1000,15000,0.012,0.063
98,1000,20000,0.0,0.085
98,1000,25000,0.0,0.052
99,1000,10000,0.057,0.073
99,1000,15000,0.005,0.064
99,1000,20000,0.0,0.074
99,1000,25000,0.0,0.061
